;15;22;34
VAESTLR12016_v1_10222|ID:85464439|nudE|;-1,01075832039076;0;0
VAESTLR12016_v1_20194|ID:85467354|;-0,986975649748536;0;0
VAESTLR12016_v1_12527|ID:85466744|nudF|;-0,983959401933726;0;0
VAESTLR12016_v1_11735|ID:85465952|;-0,979221320834436;0;0
VAESTLR12016_v1_10215|ID:85464432|epsI|;-0,950872618136766;0;0
VAESTLR12016_v1_12524|ID:85466741|yqiA|;-0,949760355265268;0;0
VAESTLR12016_v1_12455|ID:85466672|yjjV|;-0,952420383361721;0;0
VAESTLR12016_v1_10322|ID:85464539|;-0,95597328243677;0;0
VAESTLR12016_v1_12793|ID:85467010|;-0,967547810481378;0;0
VAESTLR12016_v1_11294|ID:85465511|tnpA|;-0,966402105063366;0;0
VAESTLR12016_v1_11045|ID:85465262|;-0,969565047021679;0;0
VAESTLR12016_v1_12249|ID:85466466|lolB|;-1,06731727636342;0;0
VAESTLR12016_v1_20374|ID:85467534|;-1,06526555098845;0;0
VAESTLR12016_v1_10455|ID:85464672|tnsB|;-1,06996875331315;0;0
VAESTLR12016_v1_10836|ID:85465053|;-1,05799093365482;0;0
VAESTLR12016_v1_12218|ID:85466435|flaE|;-1,05074145138443;0;0
VAESTLR12016_v1_12597|ID:85466814|;-1,02475791688587;0;0
VAESTLR12016_v1_10704|ID:85464921|;-1,0242890277298;0;0
VAESTLR12016_v1_20846|ID:85468006|;-1,01938240698816;0;0
VAESTLR12016_v1_20759|ID:85467919|;-1,03093303190964;0;0
VAESTLR12016_v1_12525|ID:85466742|cpdA|;-0,827138058839862;0;0
VAESTLR12016_v1_12479|ID:85466696|;-0,826881801903302;0;0
VAESTLR12016_v1_10314|ID:85464531|;-0,829015376433088;0;0
VAESTLR12016_v1_20761|ID:85467921|;-0,824191409922203;0;0
VAESTLR12016_v1_12518|ID:85466735|zapE|;-0,816588380144949;0;0
VAESTLR12016_v1_11478|ID:85465695|;-0,839163507526849;0;0
VAESTLR12016_v1_21015|ID:85468175|;-0,837815422895561;0;0
VAESTLR12016_v1_12062|ID:85466279|menF|;-0,835841521796296;0;0
VAESTLR12016_v1_21010|ID:85468170|;-0,832153518936884;0;0
VAESTLR12016_v1_20900|ID:85468060|;-0,850944136816559;0;0
VAESTLR12016_v1_11731|ID:85465948|;-0,850494413538496;0;0
VAESTLR12016_v1_10453|ID:85464670|tnsA|;-0,84969096640195;0;0
VAESTLR12016_v1_10201|ID:85464418|;-0,846800853846282;0;0
VAESTLR12016_v1_10650|ID:85464867|;-0,860109465659009;0;0
VAESTLR12016_v1_11727|ID:85465944|;-0,8595331247647;0;0
VAESTLR12016_v1_21246|ID:85468406|;-0,927503362897947;0;0
VAESTLR12016_v1_10857|ID:85465074|;-0,924310164058841;0;0
VAESTLR12016_v1_10640|ID:85464857|braB|;-0,918892239895169;0;0
VAESTLR12016_v1_12737|ID:85466954|yheU|;-0,914425806557727;0;0
VAESTLR12016_v1_30018|ID:85468446|;-0,904701190152648;0;0
VAESTLR12016_v1_12074|ID:85466291|;-0,904168925522611;0;0
VAESTLR12016_v1_10900|ID:85465117|;-0,902665905947916;0;0
VAESTLR12016_v1_10173|ID:85464390|;-0,891983655215831;0;0
VAESTLR12016_v1_21045|ID:85468205|;-0,890686983390297;0;0
VAESTLR12016_v1_11280|ID:85465497|;-0,888590395860264;0;0
VAESTLR12016_v1_20421|ID:85467581|;-0,878777911802196;0;0
VAESTLR12016_v1_11124|ID:85465341|hisP|;-0,782839400486611;0;0
VAESTLR12016_v1_12306|ID:85466523|tilS|;-0,781792126757163;0;0
VAESTLR12016_v1_12936|ID:85467153|;-0,77629539966989;0;0
VAESTLR12016_v1_20767|ID:85467927|;-0,775684283338525;0;0
VAESTLR12016_v1_20928|ID:85468088|;-0,769604015091532;0;0
VAESTLR12016_v1_10125|ID:85464342|;-0,766763214610129;0;0
VAESTLR12016_v1_20899|ID:85468059|;-0,753507056357068;0;0
VAESTLR12016_v1_10354|ID:85464571|;-0,753179013081437;0;0
VAESTLR12016_v1_11184|ID:85465401|;-0,755927403825855;0;0
VAESTLR12016_v1_12456|ID:85466673|;-0,760087711853227;0;0
VAESTLR12016_v1_12220|ID:85466437|;-0,758539450619565;0;0
VAESTLR12016_v1_10024|ID:85464241|;-0,804843899737123;0;0
VAESTLR12016_v1_11069|ID:85465286|lapA|;-0,802989948352594;0;0
VAESTLR12016_v1_20960|ID:85468120|;-0,794314212684929;0;0
