;15;22;34
VAESTLR12016_v1_10586|ID:85464803|;-0,629729111438513;0;0
VAESTLR12016_v1_10847|ID:85465064|treR|;-0,626038839687496;0;0
VAESTLR12016_v1_12757|ID:85466974|;-0,625275725815377;0;0
VAESTLR12016_v1_20525|ID:85467685|sstT|;-0,627183431580967;0;0
VAESTLR12016_v1_21084|ID:85468244|;-0,612461938372468;0;0
VAESTLR12016_v1_20113|ID:85467273|;-0,611830404156187;0;0
VAESTLR12016_v1_20288|ID:85467448|;-0,6067332983428;0;0
VAESTLR12016_v1_10843|ID:85465060|metN|;-0,606688788674196;0;0
VAESTLR12016_v1_12142|ID:85466359|fliA|;-0,620412466181966;0;0
VAESTLR12016_v1_10461|ID:85464678|;-0,616822565948078;0;0
VAESTLR12016_v1_20814|ID:85467974|;-0,650613113716082;0;0
VAESTLR12016_v1_20908|ID:85468068|;-0,65054810559067;0;0
VAESTLR12016_v1_20799|ID:85467959|;-0,650059534200004;0;0
VAESTLR12016_v1_12089|ID:85466306|;-0,649525948607423;0;0
VAESTLR12016_v1_20207|ID:85467367|;-0,652628419838786;0;0
VAESTLR12016_v1_20663|ID:85467823|;-0,637943531685763;0;0
VAESTLR12016_v1_20068|ID:85467228|;-0,637530895083701;0;0
VAESTLR12016_v1_10844|ID:85465061|;-0,639374655761012;0;0
VAESTLR12016_v1_12116|ID:85466333|topB|;-0,641402960432877;0;0
VAESTLR12016_v1_11552|ID:85465769|nlpC|;-0,641135342830495;0;0
VAESTLR12016_v1_30011|ID:85468439|;-0,547463996606165;0;0
VAESTLR12016_v1_10949|ID:85465166|cph2|;-0,547315051943561;0;0
VAESTLR12016_v1_12804|ID:85467021|;-0,547065966039021;0;0
VAESTLR12016_v1_21176|ID:85468336|;-0,548059155140028;0;0
VAESTLR12016_v1_11538|ID:85465755|fbpB|;-0,546524193168344;0;0
VAESTLR12016_v1_12133|ID:85466350|ccmA|;-0,545960575288968;0;0
VAESTLR12016_v1_20834|ID:85467994|;-0,544558966179052;0;0
VAESTLR12016_v1_10482|ID:85464699|;-0,544414544494007;0;0
VAESTLR12016_v1_12212|ID:85466429|;-0,554848415726513;0;0
VAESTLR12016_v1_30040|ID:85468468|;-0,554670675438238;0;0
VAESTLR12016_v1_20701|ID:85467861|;-0,554057934237166;0;0
VAESTLR12016_v1_20093|ID:85467253|;-0,55328441087148;0;0
VAESTLR12016_v1_20629|ID:85467789|;-0,550061019694878;0;0
VAESTLR12016_v1_11236|ID:85465453|lysO|;-0,540304454247085;0;0
VAESTLR12016_v1_10722|ID:85464939|aceA|;-0,539906460058915;0;0
VAESTLR12016_v1_21207|ID:85468367|bepG|;-0,540843271077017;0;0
VAESTLR12016_v1_10065|ID:85464282|;-0,538558467902852;0;0
VAESTLR12016_v1_20755|ID:85467915|;-0,535164162096541;0;0
VAESTLR12016_v1_20238|ID:85467398|;-0,535062535709548;0;0
VAESTLR12016_v1_12077|ID:85466294|;-0,534177598869438;0;0
VAESTLR12016_v1_10025|ID:85464242|;-0,527779888973155;0;0
VAESTLR12016_v1_20177|ID:85467337|;-0,527155631720582;0;0
VAESTLR12016_v1_20191|ID:85467351|rhlE|;-0,501100844207966;0;0
VAESTLR12016_v1_11840|ID:85466057|;-0,501092052862771;0;0
VAESTLR12016_v1_11541|ID:85465758|;-0,500918831905132;0;0
VAESTLR12016_v1_11058|ID:85465275|;-0,503251914248416;0;0
VAESTLR12016_v1_10019|ID:85464236|tnpA|;-0,502553753542749;0;0
VAESTLR12016_v1_12360|ID:85466577|;-0,499017085424587;0;0
VAESTLR12016_v1_20607|ID:85467767|;-0,498043668000787;0;0
VAESTLR12016_v1_20559|ID:85467719|;-0,496786122909683;0;0
VAESTLR12016_v1_12484|ID:85466701|;-0,496434097922848;0;0
VAESTLR12016_v1_10460|ID:85464677|;-0,494592685176119;0;0
VAESTLR12016_v1_20656|ID:85467816|;-0,493658161434562;0;0
VAESTLR12016_v1_10654|ID:85464871|nhaR|;-0,491807723083798;0;0
VAESTLR12016_v1_12787|ID:85467004|;-0,513727172902384;0;0
VAESTLR12016_v1_12398|ID:85466615|;-0,513690692911328;0;0
VAESTLR12016_v1_10195|ID:85464412|glnL|;-0,514613238917787;0;0
VAESTLR12016_v1_11483|ID:85465700|;-0,515565864456802;0;0
VAESTLR12016_v1_11186|ID:85465403|;-0,510209700370004;0;0
VAESTLR12016_v1_20472|ID:85467632|melB|;-0,509773301381131;0;0
