;15;22;40
VAESTLR12016_v1_12558|ID:85466775|rpoE|;-1,19509304921148;0;0
VAESTLR12016_v1_12308|ID:85466525|;-1,19191798434163;0;0
VAESTLR12016_v1_20318|ID:85467478|;-1,1916930627544;0;0
VAESTLR12016_v1_11124|ID:85465341|hisP|;-1,19016477926894;0;0
VAESTLR12016_v1_11149|ID:85465366|;-1,19868128685832;0;0
VAESTLR12016_v1_10134|ID:85464351|cyaA|;-1,18784018523595;0;0
VAESTLR12016_v1_12527|ID:85466744|nudF|;-1,18651175464914;0;0
VAESTLR12016_v1_10475|ID:85464692|;-1,18413581583892;0;0
VAESTLR12016_v1_10201|ID:85464418|;-1,09926948442677;0;0
VAESTLR12016_v1_20539|ID:85467699|vanR|;-1,09845824238025;0;0
VAESTLR12016_v1_12042|ID:85466259|;-1,09535480605649;0;0
VAESTLR12016_v1_10314|ID:85464531|;-1,09414681699498;0;0
VAESTLR12016_v1_11448|ID:85465665|;-1,09132133216067;0;0
VAESTLR12016_v1_12096|ID:85466313|yceF|;-1,08921151083403;0;0
VAESTLR12016_v1_20390|ID:85467550|;-1,10599701504625;0;0
VAESTLR12016_v1_12435|ID:85466652|;-1,10386477460511;0;0
VAESTLR12016_v1_11677|ID:85465894|;-1,08208095438446;0;0
VAESTLR12016_v1_10023|ID:85464240|;-1,08090243843112;0;0
VAESTLR12016_v1_12479|ID:85466696|;-1,08476930702819;0;0
VAESTLR12016_v1_12733|ID:85466950|kefG|;-1,07663248334214;0;0
VAESTLR12016_v1_12155|ID:85466372|;-1,12835607441459;0;0
VAESTLR12016_v1_12596|ID:85466813|;-1,12829470544534;0;0
VAESTLR12016_v1_11718|ID:85465935|;-1,12704071703734;0;0
VAESTLR12016_v1_12218|ID:85466435|flaE|;-1,12650323766474;0;0
VAESTLR12016_v1_12384|ID:85466601|;-1,1371213395605;0;0
VAESTLR12016_v1_11946|ID:85466163|;-1,13297988057355;0;0
VAESTLR12016_v1_11717|ID:85465934|;-1,11867085523497;0;0
VAESTLR12016_v1_11737|ID:85465954|;-1,11744879158156;0;0
VAESTLR12016_v1_20857|ID:85468017|;-1,12148808251987;0;0
VAESTLR12016_v1_10319|ID:85464536|;-1,11368915565564;0;0
VAESTLR12016_v1_11585|ID:85465802|;-1,11213373124553;0;0
VAESTLR12016_v1_12307|ID:85466524|;-1,0515377210684;0;0
VAESTLR12016_v1_10799|ID:85465016|;-1,05025874702243;0;0
VAESTLR12016_v1_10755|ID:85464972|;-1,04913705958652;0;0
VAESTLR12016_v1_10857|ID:85465074|;-1,04841218644595;0;0
VAESTLR12016_v1_11490|ID:85465707|;-1,0452043927662;0;0
VAESTLR12016_v1_11172|ID:85465389|;-1,04168443493602;0;0
VAESTLR12016_v1_10977|ID:85465194|moaA|;-1,0358772825963;0;0
VAESTLR12016_v1_10721|ID:85464938|aceB|;-1,03512801720117;0;0
VAESTLR12016_v1_20284|ID:85467444|;-1,03723235390132;0;0
VAESTLR12016_v1_12737|ID:85466954|yheU|;-1,03328217773245;0;0
VAESTLR12016_v1_10336|ID:85464553|;-1,0293654011207;0;0
VAESTLR12016_v1_11959|ID:85466176|;-1,02735362657788;0;0
VAESTLR12016_v1_20226|ID:85467386|;-1,05401566375207;0;0
VAESTLR12016_v1_20771|ID:85467931|;-1,05396536601163;0;0
VAESTLR12016_v1_12455|ID:85466672|yjjV|;-1,0575765719072;0;0
VAESTLR12016_v1_20119|ID:85467279|yclN|;-1,06156975751182;0;0
VAESTLR12016_v1_12477|ID:85466694|gltB|;-1,05961341680651;0;0
VAESTLR12016_v1_12437|ID:85466654|;-1,07190032008419;0;0
VAESTLR12016_v1_11889|ID:85466106|;-1,07080056770806;0;0
VAESTLR12016_v1_10697|ID:85464914|;-1,06660842900392;0;0
VAESTLR12016_v1_20121|ID:85467281|;-1,06609799522902;0;0
VAESTLR12016_v1_12495|ID:85466712|ftsQ|;-1,31289375974179;0;0,272982980487708
VAESTLR12016_v1_11646|ID:85465863|;-1,00811405271297;0;0,270459012413909
VAESTLR12016_v1_20598|ID:85467758|;-1,34740271748202;0;0
VAESTLR12016_v1_21169|ID:85468329|;-1,34633668432372;0;0
VAESTLR12016_v1_21030|ID:85468190|;-1,3442489777893;0;0
VAESTLR12016_v1_10002|ID:85464219|;-1,34218924797683;0;0
VAESTLR12016_v1_12041|ID:85466258|;-1,33913884924684;0;0
VAESTLR12016_v1_20609|ID:85467769|yjjI|;-1,33891657698392;0;0
VAESTLR12016_v1_10119|ID:85464336|yrdD|;-1,33566048190368;0;0
VAESTLR12016_v1_12793|ID:85467010|;-1,328869177357;0;0
VAESTLR12016_v1_30064|ID:85468492|;-1,32227889934367;0;0
VAESTLR12016_v1_11397|ID:85465614|;-1,31748924542347;0;0
VAESTLR12016_v1_21208|ID:85468368|;-1,31618976082983;0;0
VAESTLR12016_v1_30045|ID:85468473|;-1,31478526941525;0;0
VAESTLR12016_v1_20295|ID:85467455|;-1,31107189066664;0;0
VAESTLR12016_v1_11398|ID:85465615|;-1,31078344408351;0;0
VAESTLR12016_v1_12623|ID:85466840|;-1,29946425186726;0;0
VAESTLR12016_v1_12580|ID:85466797|;-1,35332249420116;0;0
VAESTLR12016_v1_12743|ID:85466960|astA|;-1,35264677730156;0;0
