;Cuivre;DVarS;Chelateur
VAESTLR12016_v1_21208|ID:85468368|;0;-0,753146947453894;0
VAESTLR12016_v1_11016|ID:85465233|gapA|;0;-0,751535781104676;0
VAESTLR12016_v1_10221|ID:85464438|cysQ|;0;-0,729706230656423;0
VAESTLR12016_v1_12354|ID:85466571|crl|;0;-0,729026640896823;0
VAESTLR12016_v1_12836|ID:85467053|;0;-0,73291464189189;0
VAESTLR12016_v1_12747|ID:85466964|pabA|;0;-0,737060089853482;0
VAESTLR12016_v1_11006|ID:85465223|apt|;0;-0,735070382725398;0
VAESTLR12016_v1_20148|ID:85467308|mgsA|;0;-0,716908864856107;0
VAESTLR12016_v1_20722|ID:85467882|;0;-0,716627594050439;0
VAESTLR12016_v1_10497|ID:85464714|rpoD|;0;-0,715080912277483;0
VAESTLR12016_v1_10194|ID:85464411|glnG|;0;-0,719061500726402;0
VAESTLR12016_v1_12363|ID:85466580|;0;-0,723903137965966;0
VAESTLR12016_v1_12409|ID:85466626|galK|;0;-0,723661000740359;0
VAESTLR12016_v1_11332|ID:85465549|;0;-0,725349435923622;0
VAESTLR12016_v1_12408|ID:85466625|galM|;0;-0,709797732402421;0
VAESTLR12016_v1_20088|ID:85467248|;0;-0,706470400616198;0
VAESTLR12016_v1_12638|ID:85466855|rapA|;0;-0,627779935106851;0
VAESTLR12016_v1_10204|ID:85464421|;0;-0,627339494768169;0
VAESTLR12016_v1_11594|ID:85465811|ynjB|;0;-0,628295742855107;0
VAESTLR12016_v1_12659|ID:85466876|rpoN|;0;-0,626836197665675;0
VAESTLR12016_v1_10203|ID:85464420|yiiD|;0;-0,626661256437329;0
VAESTLR12016_v1_11595|ID:85465812|;0;-0,63010069397814;0
VAESTLR12016_v1_20023|ID:85467183|;0;-0,634312631807044;0
VAESTLR12016_v1_10575|ID:85464792|sfsA|;0;-0,633495753162993;0
VAESTLR12016_v1_20575|ID:85467735|rbsB|;0;-0,644119513762522;0
VAESTLR12016_v1_12135|ID:85466352|;0;-0,642327383495436;0
VAESTLR12016_v1_11787|ID:85466004|;0;-0,647328864909055;0
VAESTLR12016_v1_11087|ID:85465304|;0;-0,657806148478222;0
VAESTLR12016_v1_30098|ID:85468526|;0;-0,654686976803773;0
VAESTLR12016_v1_12243|ID:85466460|kdsA|;0;-0,6917803226178;0
VAESTLR12016_v1_10537|ID:85464754|luxS|;0;-0,690238705721134;0
VAESTLR12016_v1_20037|ID:85467197|;0;-0,6939043464372;0
VAESTLR12016_v1_20756|ID:85467916|;0;-0,68688181532229;0
VAESTLR12016_v1_10612|ID:85464829|greA|;0;-0,686327599483874;0
VAESTLR12016_v1_20418|ID:85467578|calB|;0;-0,68809777835778;0
VAESTLR12016_v1_30032|ID:85468460|yicR|;0;-0,682956048830256;0
VAESTLR12016_v1_12076|ID:85466293|ycfH|;0;-0,679051056919975;0
VAESTLR12016_v1_20109|ID:85467269|rsgA|;0;-0,671792786557855;0
VAESTLR12016_v1_11675|ID:85465892|scrA|;0;-0,664981008402016;0
VAESTLR12016_v1_12416|ID:85466633|ygjI|;0;-0,800747602365347;0
VAESTLR12016_v1_20087|ID:85467247|;0;-0,800153310235892;0
VAESTLR12016_v1_12575|ID:85466792|leuO|;0;-0,802077587688973;0
VAESTLR12016_v1_11464|ID:85465681|pepN|;0;-0,799472559135675;0
VAESTLR12016_v1_30048|ID:85468476|;0;-0,798807534834812;0
VAESTLR12016_v1_12571|ID:85466788|serA|;0;-0,797910647561191;0
VAESTLR12016_v1_12193|ID:85466410|flhB|;0;-0,805131598899207;0
VAESTLR12016_v1_11519|ID:85465736|;0;-0,803895830188738;0
VAESTLR12016_v1_11323|ID:85465540|sapB|;0;-0,794103072318752;0
VAESTLR12016_v1_10410|ID:85464627|apaH|;0;-0,792661593222651;0
VAESTLR12016_v1_20667|ID:85467827|;0;-0,789357244969832;0
VAESTLR12016_v1_20222|ID:85467382|;0;-0,787326741709355;0
VAESTLR12016_v1_20158|ID:85467318|luxP|;0;-0,761017477932075;0
VAESTLR12016_v1_10666|ID:85464883|;0;-0,760559361004034;0
VAESTLR12016_v1_20435|ID:85467595|;0;-0,761787595759945;0
VAESTLR12016_v1_20063|ID:85467223|clcA|;0;-0,759110642710583;0
VAESTLR12016_v1_20191|ID:85467351|rhlE|;0;-0,75884026733204;0
VAESTLR12016_v1_20668|ID:85467828|;0;-0,765748930090828;0
VAESTLR12016_v1_11664|ID:85465881|hutX|;0;-0,765197620187468;0
VAESTLR12016_v1_11089|ID:85465306|;0;-0,76783555181752;0
VAESTLR12016_v1_10283|ID:85464500|queG|;0;-0,780739846021597;0
VAESTLR12016_v1_12745|ID:85466962|argD|;0;-0,778929791446703;0
VAESTLR12016_v1_12544|ID:85466761|mazG|;0;-0,774391498520595;0
VAESTLR12016_v1_10579|ID:85464796|acnB|;0;-0,771984786136279;0
VAESTLR12016_v1_12764|ID:85466981|PGdx|;0;-0,843365227692203;0
VAESTLR12016_v1_11856|ID:85466073|;0;-0,842322914399269;0
VAESTLR12016_v1_11810|ID:85466027|;0;-0,844706545544898;0
VAESTLR12016_v1_11596|ID:85465813|ynjD|;0;-0,840738940868345;0
VAESTLR12016_v1_12448|ID:85466665|serB|;0;-0,849240606865183;0
VAESTLR12016_v1_20434|ID:85467594|;0;-0,848629356464685;0
VAESTLR12016_v1_10175|ID:85464392|trmA|;0;-0,847062410872642;0
VAESTLR12016_v1_11002|ID:85465219|;0;-0,83847945866167;0
VAESTLR12016_v1_11388|ID:85465605|nrdA|;0;-0,836317328338023;0
VAESTLR12016_v1_12731|ID:85466948|yheV|;0;-0,832376883707347;0
VAESTLR12016_v1_20421|ID:85467581|;0;-0,822983577291166;0
VAESTLR12016_v1_11516|ID:85465733|potD|;0;-0,821348663957424;0
